cust_number,avg_payment_delay,std_payment_delay,min_delay,max_delay,avg_days_to_clear,avg_due_days,avg_invoice_amount,total_lifetime_value,transaction_count,company_name,late_payment_ratio
0100000048,27.5,3.5355339059327378,25.0,30.0,119.5,92.0,62260.835,124521.67,2,GEOR associates,1.0
0100000051,-17.666666666666668,16.289055630494154,-29.0,1.0,13.0,30.666666666666668,33960.76666666666,101882.29999999999,3,GREE corporation,0.3333333333333333
0100000158,7.857142857142857,43.69373933577735,-89.0,38.0,98.42857142857143,90.57142857142857,49840.83428571429,348885.84,7,CASC foundation,0.8571428571428571
0100000217,-1.0,0.0,-1.0,-1.0,20.0,21.0,34908.78,34908.78,1,MRS S associates,0.0
0100000222,-3.76,5.002332789142815,-27.0,1.0,14.72,18.48,32056.716800000002,801417.92,25,SMITHFIE co,0.04
0100000272,7.0,0.0,7.0,7.0,22.0,15.0,45844.26,45844.26,1,WR in,1.0
0100000533,-20.0,7.0710678118654755,-25.0,-15.0,11.5,31.5,625.0,1250.0,2,BEST  foundation,0.0
0100000564,33.0,0.0,33.0,33.0,45.0,12.0,14131.84,14131.84,1,MAYFIE corporation,1.0
0100000582,-7.5,0.7071067811865476,-8.0,-7.0,14.0,21.5,5046.73,10093.46,2,WHIT foundation,0.0
0100000843,-6.0,0.0,-6.0,-6.0,11.0,17.0,31130.01,31130.01,1,MARAM ,0.0
0100000933,-4.0,4.242640687119285,-7.0,-1.0,20.0,24.0,3121.4849999999997,6242.969999999999,2,RICH llc,0.0
0100001196,1.0,11.077061826192843,-50.0,34.0,19.82051282051282,18.82051282051282,20274.092564102564,1581379.22,78,DOLLAR systems,0.7692307692307693
0100001222,2.8,3.03315017762062,-1.0,5.0,18.0,15.2,13266.966,66334.83,5,REST ,0.6
0100001452,0.0,0.0,0.0,0.0,19.5,19.5,18128.46,36256.92,2,COASTAL  corp,0.0
0100001659,-21.0,0.0,-21.0,-21.0,21.0,42.0,12041.15,12041.15,1,PO ,0.0
0100003615,-12.0,0.0,-12.0,-12.0,8.0,20.0,4847.59,4847.59,1,LA SP in,0.0
0100003940,1.0,0.0,1.0,1.0,22.0,21.0,31722.0,31722.0,1,AMERICAN trust,1.0
0100004317,0.0,0.0,0.0,0.0,16.0,16.0,3461.42,3461.42,1,NATC ,0.0
0100004335,3.0,0.0,3.0,3.0,94.0,91.0,52889.76,52889.76,1,CEDARS ,1.0
0100004536,-0.6818181818181818,1.04135276655684,-4.0,2.0,18.0,18.681818181818183,48404.21272727272,1064892.68,22,BAS associates,0.045454545454545456
0100004744,0.0,0.0,0.0,0.0,20.0,20.0,17859.18333333333,53577.549999999996,3,J & J us,0.0
0100004789,-1.0,0.0,-1.0,-1.0,14.0,15.0,36445.61,36445.61,1,AMERIC co,0.0
0100005721,-1.0,8.48528137423857,-7.0,5.0,14.5,15.5,42330.524999999994,84661.04999999999,2,GET  in,0.5
0100005765,45.0,0.0,45.0,45.0,87.0,42.0,26518.68,26518.68,1,TIPTON associates,1.0
0100006176,4.0,9.899494936611665,-3.0,11.0,64.5,60.5,21226.16,42452.32,2,MENAS co,0.5
0100006311,-1.8333333333333333,5.373898759633258,-6.0,14.0,12.916666666666666,14.75,20384.349166666667,244612.19,12,QUALITY C ,0.08333333333333333
0100006671,5.0,2.8284271247461903,3.0,7.0,20.5,15.5,42330.24,84660.48,2,BOB E foundation,1.0
0100006823,-3.0,0.0,-3.0,-3.0,16.0,19.0,16432.2,16432.2,1,MARCOS  ,0.0
0100007796,2.25,1.4999999999999998,1.0,4.0,17.25,15.0,816.325,3265.3,4,UNITE ,1.0
0100007916,-22.4,3.646916505762094,-26.0,-18.0,11.6,34.0,7807.2080000000005,39036.04,5,INTERN foundation,0.0
0100008001,-3.625,4.596194077712559,-13.0,0.0,15.125,18.75,15473.57625,123788.61,8,ANHA co,0.0
0100008870,0.0,0.0,0.0,0.0,20.0,20.0,3444.9,3444.9,1,PATIO  foundation,0.0
0100009866,5.0,0.0,5.0,5.0,16.0,11.0,9853.8,9853.8,1,BUNZ associates,1.0
0100009932,3.263157894736842,6.589908996700586,0.0,30.0,35.94736842105263,32.68421052631579,17442.605263157893,331409.5,19,SYSCO IN foundation,0.9473684210526315
0100010082,-30.0,0.0,-30.0,-30.0,0.0,30.0,30.98,30.98,1,SO associates,0.0
0100010265,2.0,1.4142135623730951,1.0,3.0,20.0,18.0,9868.8375,19737.675,2,WOW FA associates,1.0
0100010669,2.0,0.0,2.0,2.0,17.5,15.5,50974.67,101949.34,2,EAGL foundation,1.0
0100010880,0.0,0.0,0.0,0.0,21.0,21.0,22399.4,22399.4,1,RUSSO  corporation,0.0
0100011023,0.0,0.0,0.0,0.0,16.0,16.0,62289.3,62289.3,1,DIAMON co,0.0
0100011571,7.0,0.0,7.0,7.0,9.0,2.0,8933.76,8933.76,1,TZETZ ,1.0
0100011799,1.3333333333333333,0.5773502691896257,1.0,2.0,22.333333333333332,21.0,140760.0,422280.0,3,CORN associates,1.0
0100011895,1.0,0.0,1.0,1.0,16.0,15.0,29090.340000000004,29090.340000000004,1,GRO associates,1.0
0100011958,2.3333333333333335,26.580067720004024,-45.0,50.0,48.55555555555556,46.22222222222222,21234.472222222223,191110.25,9,IND systems,0.3333333333333333
0100012050,4.0,0.0,4.0,4.0,21.0,17.0,13681.44,13681.44,1,WHIT us,1.0
0100012181,-19.0,0.0,-19.0,-19.0,11.0,30.0,120.0,120.0,1,GODL corp,0.0
